;sexe;prenom;index;nombre
762;2;EGUZKIÑE;2133;9
763;2;DENISE;2132;9
764;2;MERIAM;7455;9
765;2;JENIFER;6442;9
766;2;SOIARTZE;3366;9
767;2;JOANNA;2142;9
768;2;AWA;3341;9
769;2;BATIRTZE;2130;9
770;2;ADELE;3336;9
771;2;SUE;3400;8
772;2;HAYDEE;2160;8
773;2;ALESSANDRA;2155;8
774;2;SAMIA;3397;8
775;2;DEBA;3374;8
776;2;MARIAN;6474;8
777;2;IRAIDA;2162;8
778;2;HIRUNE;6466;8
779;2;ELORA;3376;8
780;2;EKHIA;5405;8
781;2;YOANA;6482;8
782;2;ANOUK;5401;8
783;2;MARIA BELEN;6473;8
784;2;DOUAA;1081;8
785;2;ANET;5399;8
786;2;IZAGA;7479;8
787;2;BIHOTZA;3371;8
788;2;SABRIN;7492;8
789;2;MELANY;3387;8
790;2;SHAKIRA;2167;8
791;2;LIBERTAD;3383;8
792;2;SOL;3398;8
793;2;ZINEB;7496;8
794;2;LAYLA;1122;7
795;2;SOFIA ELENA;3446;7
796;2;RUT;5462;7
797;2;GLORIA;6498;7
798;2;KALA;3426;7
799;2;SAIDA;2206;7
800;2;SALWA;7527;7
801;2;SARA MARIA;3442;7
802;2;GURE;1116;7
803;2;SHAMIRA;7529;7
804;2;RANYA;7525;7
805;2;SHIARA;3444;7
806;2;ANA BELEN;6485;7
807;2;HODEIA;2182;7
808;2;REGINA;2204;7
809;2;ERICA;6493;7
810;2;MAYI;4520;7
811;2;LUJAN;3430;7
812;2;MERYEM;7519;7
813;2;MARIE;3434;7
814;2;ERKUDEN;6494;7
815;2;NINA;5458;7
816;2;ESTER;6495;7
817;2;YASHIRA;3450;7
818;2;CHARLOTTE;1109;7
819;2;USUE;2209;7
820;2;LYA;3431;7
821;2;BEREZI;2175;7
822;2;IRAMA;2185;7
823;2;LEIANE;5451;7
824;2;MIAH;3436;7
825;2;ARIMA;3411;7
826;2;MAORE;5454;7
827;2;OSANE;2202;7
828;2;MARGOT;5495;6
829;2;NASIRA;3478;6
830;2;EILEEN;7550;6
831;2;MARIA BEGOÑA;2250;6
832;2;YOSRA;7588;6
833;2;CARMELA;6524;6
834;2;MILANA;7574;6
835;2;SHANIA;2262;6
836;2;MAYTE;6548;6
837;2;MIREN BEGOÑA;2253;6
838;2;SHEYLA;7582;6
839;2;CASILDA;3456;6
840;2;MATIXA;5497;6
841;2;ELI;5478;6
